t_h,ws_HH_m/s,wd_HH_deg
48338.5,6.765992812778251,259.1748098
48339.0,7.150177570340896,255.7906876
48339.5,9.011184487473368,261.3998769
48340.0,10.049934326810487,267.5598679
48340.5,11.42210081803219,271.59684500000003
48341.0,12.286660235113096,280.944219
48341.5,14.07662436320652,292.825737
48342.0,13.786297848259318,299.8542328
48342.5,12.169207984414708,302.5895538
48343.0,12.613506432872178,316.84309640000004
48343.5,5.6080683949732695,343.0123952
48344.0,9.989991426990759,299.51197049999996
48344.5,9.229177131794524,301.12519069999996
48345.0,11.309274408472424,295.9152934
48345.5,13.548313316244432,302.8771413
48346.0,14.464110182093288,303.7857869
48346.5,17.149112961376403,316.0769374
48347.0,16.718048850708925,320.9551315
48347.5,17.337617958304925,323.4589132
48348.0,17.434999863062252,324.737353
48348.5,17.477719891522703,325.97980240000004
48349.0,17.06395350670032,331.06897230000004
48349.5,15.62047075676269,330.9959335
48350.0,14.748812132672771,330.1346385
48350.5,15.02544813319225,330.05687969999997
48351.0,14.230205652519496,330.205925
48351.5,13.487161872219577,338.70477040000003
48352.0,10.688717083194026,348.2972972
48352.5,10.183254649542745,346.3127085
48353.0,8.87147304459771,345.2569504
48353.5,8.124362509181438,347.5130259
48354.0,7.487998563202566,342.4673843
48354.5,6.049930866339464,335.5336278
48355.0,4.764880512521659,337.65073140000004
48355.5,3.859878247782334,338.9165039
48356.0,4.6633785911436965,351.924413
48356.5,3.929197221785256,0.10300699999999097
48357.0,2.7984136708309153,6.557729100000017
48357.5,2.480513827789244,27.002222700000004
48358.0,1.3997830289492685,13.105346699999984
48358.5,0.3927316529704521,278.6536764
48359.0,2.048180291636379,236.5514119
48359.5,0.9277600541865411,217.9917196
48360.0,1.1231039470093418,186.09076691
48360.5,1.0602329189655675,169.52924093000001
48361.0,0.44767522033335927,212.64989730000002
48361.5,0.45217215845351005,6.870829300000025
48362.0,0.8671337474486709,28.0975545
48362.5,1.5840034295914773,59.995976799999994
48363.0,1.0302003816489618,210.5354207
48363.5,1.9814037763107466,170.18508657
48364.0,1.9517917764622044,173.14056650999999
48364.5,1.1366288619877485,130.66792806
48365.0,0.666596228730297,212.78755189999998
48365.5,0.7486190360577514,114.5248057
48366.0,1.6562139280952042,143.49920146
48366.5,2.443903733366731,132.57722982
48367.0,2.6760825661373002,126.04070536
48367.5,1.2846261790556925,128.9563446
48368.0,0.5180157236357569,184.78190358
48368.5,0.8848722328543366,225.9375585
48369.0,0.5365358722114237,232.0561701
48369.5,0.9822890173679882,248.1139577
48370.0,1.9663614607609532,270.00731659999997
48370.5,2.6634440719479917,272.6102676
48371.0,3.251632845284768,271.2149531
48371.5,4.246033483753148,280.5783869
48372.0,5.384347176243635,286.28966779999996
48372.5,6.215742130829564,290.7136358
48373.0,6.648660561223424,288.8711014
48373.5,7.188668126061386,282.1526133
48374.0,8.288720840389406,286.2833023
48374.5,8.75819038344513,298.3984044
48375.0,9.469441978917432,307.10846960000003
48375.5,8.85411041948538,305.6129583
48376.0,8.806609434286166,312.2085597
48376.5,8.745550244188989,313.650767
48377.0,8.096673606265828,315.9076665
48377.5,6.111373493110908,321.2280019
48378.0,3.2266980663120335,326.64780429999996
48378.5,0.10005127619837538,267.1930898
48379.0,2.0112658854926635,179.13132985
48379.5,5.207499353662202,201.3700129
48380.0,5.919596750185892,217.5278931
48380.5,5.5316585990681695,219.7823766
48381.0,5.815506049861585,225.7574819
48381.5,6.096140850824279,240.7451324
48382.0,6.499213512244409,242.5015615
48382.5,6.863709009317651,246.9032771
48383.0,6.493786154701189,250.5766195
48383.5,5.963188679846778,253.5451457
48384.0,6.187999303648935,256.4764099
48384.5,5.033151074027793,281.3178431
48385.0,6.312237322867471,312.55304720000004
48385.5,3.5098684675618834,298.9461288
48386.0,1.8649698574857763,355.3112208
48386.5,1.2971603377413747,322.0400899
48387.0,2.6623729283007944,304.3238525
48387.5,2.945552225535546,332.4985911
48388.0,3.6144899603369693,8.037424699999974
48388.5,5.433767770991901,29.24467470000002
48389.0,6.171830332322658,37.45230099999998
48389.5,6.5265074551279225,36.814097100000026
48390.0,7.164881931172041,35.375101700000016
48390.5,7.584484269477416,32.512435900000014
48391.0,7.339331555996749,29.424418100000025
48391.5,7.01664232968693,23.41649369999999
48392.0,6.87769070451946,17.757980299999986
48392.5,6.587192931014149,10.516682899999978
48393.0,6.7727948031564535,0.042129499999987274
48393.5,7.05452810242679,355.6913249
48394.0,7.8007759857054175,354.3951467
48394.5,8.111178880477889,353.4730581
48395.0,7.991759285677321,353.0979563
48395.5,7.934125937393153,352.5176748
